method	setting	bytes	artifact	retained_parameters	n	nll_nats	accuracy	macro_f1	ece	compression_ratio	delta_nll	accuracy_loss	acceptable	selection_split	selected	test_n	test_nll_nats	test_accuracy	test_macro_f1	test_ece	payload_bytes	seed
pruning	0.95	46272	pruned.95pct.npz	256	604	4.899116502026035	0.2781456953642384	0.21761658031088082	0.7134371233582276	1.387448132780083	4.890753034189288	0.7185430463576159	False	tune	False						4778	2027
pruning	0.98	45040	pruned.98pct.npz	102	604	6.424368637310747	0.2781456953642384	0.21761658031088082	0.7215085746922105	1.425399644760213	6.4160051694739995	0.7185430463576159	False	tune	False						3546	2027
pruning	0.99	44632	pruned.99pct.npz	51	604	6.281288658972216	0.2781456953642384	0.21761658031088082	0.72161036641934	1.4384298261337156	6.272925191135469	0.7185430463576159	False	tune	False						3138	2027
quantization	16.0	54704	quantized.16bit.npz	5121	604	0.012487109162350414	0.9983443708609272	0.9979347250004273	0.010374787356742583	1.1735887686458029	3.174887851673837e-05	0.0	True	tune	False						13210	2028
quantization	8.0	49583	quantized.8bit.npz	5121	604	0.0248447127712849	0.9950331125827815	0.993826802985756	0.015098504184487417	1.2947986204949278	0.012389352487451223	0.0033112582781457123	True	tune	True	1148.0	0.051558142859474805	0.9869337979094077	0.9814793901750423	0.019123031600118322	8089	2028
quantization	6.0	48303	quantized.6bit.npz	5121	604	7.300478780503788	0.2781456953642384	0.21761658031088082	0.7217697658607437	1.3291099931681263	7.288023420219954	0.7201986754966888	False	tune	False						6809	2028
quantization	4.0	47023	quantized.4bit.npz	5121	604	5.500614596045978	0.2781456953642384	0.21761658031088082	0.7213637276766134	1.365289326499798	5.488159235762144	0.7201986754966888	False	tune	False						5529	2028
quantization	3.0	46383	quantized.3bit.npz	5121	604	5.500614252072947	0.2781456953642384	0.21761658031088082	0.7213637274428026	1.3841278054459607	5.488158891789113	0.7201986754966888	False	tune	False						4889	2028
quantization	2.0	45743	quantized.2bit.npz	5121	604	5.500614252072947	0.2781456953642384	0.21761658031088082	0.7213637274428026	1.4034934306888485	5.488158891789113	0.7201986754966888	False	tune	False						4249	2028
pruning	0.25	74952	pruned.25pct.npz	3841	604	0.01340565593428204	1.0	1.0	0.011847252258570608	0.856548190842139	0.0009502956504483639	-0.0016556291390728006	True	tune	False						33458	2028
pruning	0.5	64704	pruned.50pct.npz	2560	604	0.03718383712561959	0.9933774834437086	0.9918134995933858	0.029208658766576922	0.9922106824925816	0.02472847684178591	0.004966887417218624	True	tune	False						23210	2028
pruning	0.75	54464	pruned.75pct.npz	1280	604	0.4656961045286583	0.7864238410596026	0.7744800937784917	0.2446784109188437	1.1787602820211516	0.45324074424482463	0.2119205298013246	False	tune	False						12970	2028
pruning	0.9	48320	pruned.90pct.npz	512	604	2.7523874075028156	0.2897350993377483	0.23540919753906075	0.6706564414762596	1.3286423841059603	2.739932047218982	0.7086092715231789	False	tune	False						6826	2028
