method	setting	bytes	artifact	retained_parameters	n	nll_nats	accuracy	macro_f1	ece	compression_ratio	delta_nll	accuracy_loss	acceptable	selection_split	selected	test_n	test_nll_nats	test_accuracy	test_macro_f1	test_ece	payload_bytes	seed
svd	32.0	735192	svd.rank32.npz	172577	604	0.020143173511226308	0.9966887417218543	0.9958770205329839	0.008862505089448374	7.193543999390635	-0.0003482880137131196	-0.0016556291390728006	True	tune	False						693698	2029
svd	64.0	1423448	svd.rank64.npz	344641	604	0.02049794323315205	0.9966887417218543	0.9958770205329839	0.008940142475745585	3.7153700029786827	6.481708212623116e-06	-0.0016556291390728006	True	tune	False						1381954	2029
svd	128.0	2799960	svd.rank128.npz	688769	604	0.020353407778447765	0.9950331125827815	0.9938041750012823	0.009145633859810385	1.8888255546507808	-0.00013805374649166272	0.0	True	tune	False						2758466	2029
svd	256.0	5552984	svd.rank256.npz	1377025	604	0.020491458918450355	0.9950331125827815	0.9938041750012823	0.008938750973471543	0.9523953247479193	-2.606489073186946e-09	0.0	True	tune	False						5511490	2029
quantization	16.0	2666916	quantized.16bit.npz	1311233	604	0.012962767908647727	0.9983443708609272	0.9979347250004273	0.005331339496931699	1.983053084536596	3.856920301516589e-05	0.0	True	tune	False						2625422	2030
quantization	8.0	1355683	quantized.8bit.npz	1311233	604	1.20965907367475	0.30960264900662254	0.2648658114793573	0.5418968961156462	3.9010860208470564	1.1967348749691173	0.6887417218543046	False	tune	False						1314189	2030
quantization	6.0	1027875	quantized.6bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	5.1452131825367875	0.6802229818543127	0.7201986754966888	False	tune	False						986381	2030
quantization	4.0	700067	quantized.4bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	7.554471214898003	0.6802229818543127	0.7201986754966888	False	tune	False						658573	2030
quantization	3.0	536163	quantized.3bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	9.863858565398955	0.6802229818543127	0.7201986754966888	False	tune	False						494669	2030
quantization	2.0	372259	quantized.2bit.npz	1311233	604	0.6931471805599453	0.2781456953642384	0.21761658031088082	0.2218543046357616	14.20687209711518	0.6802229818543127	0.7201986754966888	False	tune	False						330765	2030
pruning	0.25	7911612	pruned.25pct.npz	983425	604	0.01300189150545281	0.9983443708609272	0.9979347250004273	0.00556963017019072	0.6684650359496902	7.769279982024896e-05	0.0	True	tune	False						7870118	2030
pruning	0.5	5289140	pruned.50pct.npz	655616	604	0.016366499313145415	0.9950331125827815	0.993826802985756	0.008683317443391	0.9999047104066068	0.003442300607512855	0.0033112582781457123	True	tune	False						5247646	2030
pruning	0.75	2666676	pruned.75pct.npz	327808	604	0.05358023704412819	0.9801324503311258	0.9756136950904393	0.02389433966956171	1.9832315586895446	0.040656038338495626	0.018211920529801362	False	tune	False						2625182	2030
pruning	0.9	1093196	pruned.90pct.npz	131123	604	0.20712122207091416	0.9105960264900662	0.8974855418657279	0.10040406706952663	4.837774744876491	0.1941970233652816	0.08774834437086099	False	tune	False						1051702	2030
pruning	0.95	568708	pruned.95pct.npz	65562	604	0.4142782924352476	0.8228476821192053	0.8092978651204651	0.21776840544820883	9.299387383332045	0.40135409372961506	0.17549668874172186	False	tune	False						527214	2030
pruning	0.98	254012	pruned.98pct.npz	26225	604	0.7188032834510182	0.5215231788079471	0.5209440823327616	0.3865678293149568	20.82041793301104	0.7058790847453856	0.4768211920529801	False	tune	False						212518	2030
pruning	0.99	149108	pruned.99pct.npz	13112	604	0.9168905776372577	0.30132450331125826	0.2527469950161243	0.44265799130316236	35.468492636209994	0.9039663789316251	0.6970198675496689	False	tune	False						107614	2030
svd	1.0	68444	svd.rank1.npz	5890	604	0.4431614006220029	0.8890728476821192	0.8752585422992155	0.11508589666172747	77.26953421775467	0.4302372019163703	0.10927152317880795	False	tune	False						26950	2030
svd	2.0	89952	svd.rank2.npz	11267	604	0.2532842639031907	0.9337748344370861	0.9225432488234011	0.06745025404622057	58.79397901102811	0.24036006519755815	0.06456953642384111	False	tune	False						48458	2030
svd	4.0	132968	svd.rank4.npz	22021	604	0.09074223618432282	0.9619205298013245	0.9542736013324249	0.03888468519077165	39.77375007520607	0.07781803747869026	0.036423841059602724	False	tune	False						91474	2030
svd	8.0	219000	svd.rank8.npz	43529	604	0.029433949046822235	0.9867549668874173	0.9836269991867714	0.011391437427062962	24.149022831050228	0.016509750341189674	0.011589403973509937	False	tune	False						177506	2030
svd	16.0	391064	svd.rank16.npz	86545	604	0.012428112267444344	0.9966887417218543	0.9958618232642267	0.005442258126041146	13.523709674119837	-0.0004960864381882164	0.0016556291390729116	True	tune	True	1148.0	0.02356863625341118	0.9895470383275261	0.9850424102392606	0.005955313362541311	349570	2030
svd	32.0	735192	svd.rank32.npz	172577	604	0.0133872099231774	0.9966887417218543	0.9958618232642267	0.004170566133833073	7.193543999390635	0.00046301121754483907	0.0016556291390729116	True	tune	False						693698	2030
svd	64.0	1423448	svd.rank64.npz	344641	604	0.013348294034782623	0.9966887417218543	0.9958618232642267	0.003995385944997781	3.7153700029786827	0.00042409532915006244	0.0016556291390729116	True	tune	False						1381954	2030
svd	128.0	2799960	svd.rank128.npz	688769	604	0.013270519717368649	0.9966887417218543	0.9958618232642267	0.0034329261738843984	1.8888255546507808	0.0003463210117360879	0.0016556291390729116	True	tune	False						2758466	2030
svd	256.0	5552984	svd.rank256.npz	1377025	604	0.012924201642663951	0.9983443708609272	0.9979347250004273	0.005304467883228959	0.9523953247479193	2.93703139066237e-09	0.0	True	tune	False						5511490	2030
